"P606t","A049","A071","p344p","incanon","p493p","a070p","a114p","A094","Gorx"
0.885,2,1,547.575,547.575,0,80,8,12,2
1.08,3,1,734.15,734.15,0,44,4,7,7
0,2,1,758.515,758.515,0,53,5,6,3
29,5,1,224.48,362.336578113091,0,44,4,5,7
0,2,3,1812.31,1812.31,0,39,4,2,7
0,1,2,85,197.836787360211,0,31,6,6,5
0,2,1,642.46,642.46,0,56,7,4,8
5.92,3,2,738.12,738.12,0,39,5,3,2
3.595,2,3,424.3925,424.3925,0,61,5,3,11
0,2,2,412.77,509.666057692308,0,40,3,8,8
0,3,2,695.36917948718,695.36917948718,0,80,6,3,5
0,3,1,1257.13,1257.13,0,37,8,2,10
0,1,1,360.01,365.063221153846,0,46,3,8,6
0,2,1,554.0715,554.0715,0,79,7,12,3
0,1,2,440.8945,447.530725961538,0,80,6,12,11
0.5,3,1,756.956,756.956,0,65,7,12,11
4.945,2,1,1234.39,1234.39,0,50,6,8,3
0.5,2,1,580.725,580.725,0,60,7,8,4
0,3,1,1147.88,1147.88,0,59,5,3,7
0,4,1,194.38,299.425636895227,0,41,5,5,3
2.165,2,3,2068.07,2074.53056089744,0,30,4,3,11
0,1,2,133.58,236.313501897757,0,44,5,12,2
3.975,1,1,771.18,777.772115384615,0,61,7,8,8
159.25,3,1,1140.339,1146.13496153846,0,65,8,12,3
0,2,1,508.384,508.384,0,76,7,12,5
0.15,4,1,936.7725,936.7725,0,43,4,2,6
35.325,2,2,299.064,299.064,0,68,5,12,6
0.69,1,2,153.85,153.85,0,66,6,12,5
2.8,2,3,285.924,285.924,0,67,6,12,1
0,4,1,774.33,774.33,0,39,6,3,10
6.23,2,1,588.474,588.474,0,71,6,8,5
6.46,3,2,383.15,383.15,0,47,5,3,8
8.75,2,2,1483.482,1483.482,0,80,8,12,9
0,2,3,2134.09,2134.09,0,49,10,3,5
0.91,2,1,387.5265,387.5265,0,68,8,12,4
0,1,2,532.65,540.820240384615,0,66,6,12,9
0.135,2,1,486.234,486.234,0,79,5,12,11
4.13,2,1,557,557,0,63,5,4,5
7.9,2,3,879.48,879.48,0,70,4,6,3
0,2,1,209.495,305.34872735432,0,54,4,7,6
83.875,4,1,449.39,505.207926142957,0,49,4,8,7
11.34,4,1,1648.28,1648.28,0,56,8,2,9
0,2,1,407.974,407.974,0,75,3,12,8
0,2,2,386.32,386.32,0,80,6,12,12
0,4,2,275,362.296154319695,0,28,5,7,4
0,1,1,26.3275,32.9047435897436,0,61,5,5,2
0,1,1,182.71,275.827383197003,0,63,4,1,2
2.58,2,1,485.904,485.904,0,72,7,12,2
0,2,1,869.76,869.76,0,63,5,3,8
0,2,1,967.72,967.72,0,80,8,12,8
0,2,2,431.789,431.789,0,80,6,12,2
4,2,2,2134.09,2134.09,0,43,5,2,11
9.365,4,1,274.92,302.641774955152,0,35,4,7,3
1.065,1,2,273.412,281.582240384615,0,72,6,12,9
0,2,2,166,285.376234663427,0,20,4,7,9
0.4,1,2,166.8925,297.355433638976,0,67,3,12,8
0.74,1,2,519.2575,522.542211538462,0,56,5,1,7
43.745,3,2,499.1925,499.1925,0,54,7,5,8
4.995,2,1,1174.66,1174.66,0,72,9,12,9
0.125,3,1,676.783846153846,676.783846153846,0,39,5,3,2
0,1,2,165.5,255.745301762093,0,57,3,12,6
0,4,2,2134.09,2134.09,0,47,8,5,8
0,2,1,1434.91,1434.91,0,29,4,3,8
0,1,1,193.145,193.145,0,64,3,4,5
3.415,1,2,183.522,292.984314697629,0,80,5,12,5
1.21,2,3,796.66,796.66,0,24,5,6,2
0.095,2,3,591.38,591.38,0,64,7,7,4
1.925,1,1,599.09,603.46640224359,0,42,3,3,11
0.645,1,2,363.732,368.361326923077,0,70,3,7,3
0,2,1,671.76,671.76,0,47,4,6,9
0,2,1,989.859,989.859,0,80,6,12,6
6.74,3,3,1016.34,1016.34,0,45,5,4,10
1.5,4,3,805.08,805.08,0,64,7,7,2
0,2,1,659.6775,659.6775,0,64,5,6,5
12.075,3,1,891.972,891.972,0,50,7,8,9
9.025,3,1,1567.68,1567.68,0,52,7,3,4
0,5,1,1644.2,1644.2,0,60,7,3,6
0,5,1,1380.57,1380.57,0,47,6,3,2
0,6,2,831.134,876.150620974906,0,45,5,8,5
0,2,2,203.47,261.47,0,25,5,7,12
0.495,2,1,359.512,381.931107861378,0,61,5,6,4
4.5,2,1,546.059,546.059,0,75,4,12,4
4.75,4,1,1230.04,1230.04,0,49,7,3,4
0.7,2,1,422.9,422.9,0,67,5,12,10
13.955,2,2,707.1,707.1,0,28,3,4,8
